Party (partija),Candidate (kandidatas),Post Election No (numeris prieš rinkimus),Pre Election No (numeris po rinkimų)
„Drąsos kelias“ politinė partija,Aurelija GURSKIENĖ,26,17
„Drąsos kelias“ politinė partija,Rytis SALADŽIUS,27,28
„Drąsos kelias“ politinė partija,Juozas VALIUŠAITIS,28,29
„Drąsos kelias“ politinė partija,Irena VASINAUSKAITĖ,29,38
„Drąsos kelias“ politinė partija,Egidijus SKARBALIUS,30,59
„Drąsos kelias“ politinė partija,Evelina PALTANAVIČIŪTĖ-MATJOŠAITIENĖ,31,47
„Drąsos kelias“ politinė partija,Irena MALINAUSKIENĖ,32,20
„Drąsos kelias“ politinė partija,Arūnas JUŠKA,33,32
„Drąsos kelias“ politinė partija,Julius GIRDVAINIS,34,31
„Drąsos kelias“ politinė partija,Loreta STEPONAITYTĖ,35,21
„Drąsos kelias“ politinė partija,Birutė VAIKŠNORAITĖ,36,37
„Drąsos kelias“ politinė partija,Česlovas STONYS,37,78
„Drąsos kelias“ politinė partija,Aurimas RADKEVIČIUS,38,36
„Drąsos kelias“ politinė partija,Paulius VINKLERIS,39,43
„Drąsos kelias“ politinė partija,Linas PETRONIS,40,30
„Drąsos kelias“ politinė partija,Saulius VAIKŠNORAS,41,79
„Drąsos kelias“ politinė partija,Gintaras DRUČKUS,42,45
„Drąsos kelias“ politinė partija,Jonas ZAJANČKAUSKAS,43,82
„Drąsos kelias“ politinė partija,Sigitas MARTINAVIČIUS,44,24
„Drąsos kelias“ politinė partija,Vytautas PEČIŪRA,45,70
„Drąsos kelias“ politinė partija,Jonas DAPŠAUSKAS,46,53
„Drąsos kelias“ politinė partija,Tautrimas JANUŠEVIČIUS,47,46
„Drąsos kelias“ politinė partija,Žilvinas MACIJAUSKAS,48,69
„Drąsos kelias“ politinė partija,Vaidas REPEČKA,49,50
„Drąsos kelias“ politinė partija,Antanas BUROKAS,50,81
„Drąsos kelias“ politinė partija,Eglė MIRONČIKIENĖ,51,35
„Drąsos kelias“ politinė partija,Saulius JUODZEVIČIUS,52,27
„Drąsos kelias“ politinė partija,Jonas IVOŠKA,53,80
„Drąsos kelias“ politinė partija,Kristina ZIKIENĖ,54,23
„Drąsos kelias“ politinė partija,Zenonas VEGELEVIČIUS,55,44
„Drąsos kelias“ politinė partija,Virgilijus Petras MATULA,56,49
„Drąsos kelias“ politinė partija,Leonarda KUODIENĖ,57,58
„Drąsos kelias“ politinė partija,Rasma BUZIENĖ,58,55
„Drąsos kelias“ politinė partija,Audronė VEILENTIENĖ,59,26
„Drąsos kelias“ politinė partija,Zenonas ŽYMANČIUS,60,54
„Drąsos kelias“ politinė partija,Rita JUSIENĖ,61,57
„Drąsos kelias“ politinė partija,Egidijus RUMŠA,62,71
„Drąsos kelias“ politinė partija,Laima ARNATKEVIČIŪTĖ,63,42
„Drąsos kelias“ politinė partija,Vygintas VILUTIS,64,33
„Drąsos kelias“ politinė partija,Algirdas KARČIAUSKAS,65,65
„Drąsos kelias“ politinė partija,Alė JURGAITIENĖ,66,77
„Drąsos kelias“ politinė partija,Arimantas RAČKAUSKAS,67,62
„Drąsos kelias“ politinė partija,Linas ŠALNA,68,75
„Drąsos kelias“ politinė partija,Jurgis ZABILIUS,69,56
„Drąsos kelias“ politinė partija,Linas LABAČIAUSKAS,70,48
„Drąsos kelias“ politinė partija,Vytautas KUKLYS,71,66
„Drąsos kelias“ politinė partija,Ryšard MACEIKIANEC,72,67
„Drąsos kelias“ politinė partija,Genovaitė RAČINSKIENĖ,73,61
„Drąsos kelias“ politinė partija,Audrius MALAKAUSKAS,74,68
„Drąsos kelias“ politinė partija,Algirdas GURSKIS,75,51
„Drąsos kelias“ politinė partija,Alvita ARMANAVIČIENĖ,76,63
„Drąsos kelias“ politinė partija,Egidijus BALTUŠIS,77,64
„Drąsos kelias“ politinė partija,Edvardas ŠALKAUSKAS,78,74
„Drąsos kelias“ politinė partija,Tatjana ŽGUNOVA,79,73
„Drąsos kelias“ politinė partija,Algirdas JANKAUSKAS,80,76
Emigrantų partija,Juozas MURAUSKAS,1,1
Emigrantų partija,Redas KIMANTAS,2,3
Emigrantų partija,Rimantas ŽILIONIS,3,4
Emigrantų partija,Virginija ANDRIJEVSKIENĖ,4,5
Emigrantų partija,Gediminas NAUČIUS,5,2
Emigrantų partija,Andrius KASPARAVIČIUS,6,7
Emigrantų partija,Kristina ŽIEMYTĖ,7,9
Emigrantų partija,Antanas PAULIUKAS,8,6
Emigrantų partija,Laimutis RAKAS,9,17
Emigrantų partija,Raimunda MURAUSKIENĖ,10,8
Emigrantų partija,Enrika SKUJAITĖ,11,10
Emigrantų partija,Rolandas JANAVIČIUS,12,15
Emigrantų partija,Gražina OLEKAITĖ,13,18
Emigrantų partija,Artūras ALEKNA,14,22
Emigrantų partija,Edgaras ŽILIONIS,15,29
Emigrantų partija,Violeta KURINSKIENĖ,16,12
Emigrantų partija,Romualdas VARANAUSKAS,17,20
Emigrantų partija,Natalija STOČKUVIENĖ,18,30
Emigrantų partija,Neringa PETRULIENĖ,19,13
Emigrantų partija,Giedrius JARAŠIŪNAS,20,11
Emigrantų partija,Jūratė NAUČIENĖ,21,14
Emigrantų partija,Gražina MONCEVIČIENĖ,22,26
Emigrantų partija,Daiva RAUSCH,23,23
Emigrantų partija,Kristina ŠUKIENĖ,24,16
Emigrantų partija,Genė PUŽIENĖ,25,28
Emigrantų partija,Rita ANDRIUŠIENĖ,26,25
Emigrantų partija,Nedas KEREVIČIUS,27,19
Emigrantų partija,Jadvyga ZUPKIENĖ,28,21
Emigrantų partija,Marius TAŠKEVIČIUS,29,24
Emigrantų partija,Romualdas DANIELIS,30,27
Krikščionių partija,Gediminas VAGNORIUS,1,1
Krikščionių partija,Vidmantas ŽIEMELIS,2,2
Krikščionių partija,Algirdas MONKEVIČIUS,3,3
Krikščionių partija,Arvydas ŠALTENIS,4,4
Krikščionių partija,Albinas PILIPAUSKAS,5,5
Krikščionių partija,Tomas JOSAS,6,11
Krikščionių partija,Algis ŽVALIAUSKAS,7,6
Krikščionių partija,Loreta DAMBRAUSKIENĖ,8,10
Krikščionių partija,Antanas DAMULIS,9,8
Krikščionių partija,Rasa JUOCEVIČIENĖ,10,15
Krikščionių partija,Vidmantas VALINČIUS,11,7
Krikščionių partija,Petras BEINORAS,12,9
Krikščionių partija,Gediminas RAUDONIS,13,13
Krikščionių partija,Henrikas PETRAUSKAS,14,12
Krikščionių partija,Alvydas KIRKLIAUSKAS,15,18
Krikščionių partija,Arvydas JUREVIČIUS,16,14
Krikščionių partija,Gediminas ALEKSONIS,17,16
Krikščionių partija,Dalia Kotryna ŽALĖNAITĖ,18,20
Krikščionių partija,Petras MALDONIS,19,21
Krikščionių partija,Rita LIAUDANSKIENĖ,20,40
Krikščionių partija,Eugenijus DEGUTIS,21,38
Krikščionių partija,Kęstutis MALINAUSKAS,22,26
Krikščionių partija,Nerijus BUDREIKA,23,24
Krikščionių partija,Sonata BRUŽAITĖ,24,25
Krikščionių partija,Antanas JASAS,25,17
Krikščionių partija,Aidas ČĖSNA,26,59
Krikščionių partija,Vytautas JUKNA,27,27
Krikščionių partija,Anželika JURAŠŪNIENĖ,28,30
Krikščionių partija,Artūras TAMKUTONIS,29,19
Krikščionių partija,Ernesta RANUSIENĖ,30,50
Krikščionių partija,Alfonsas MOTUZAS,31,75
Krikščionių partija,Jurgis STAŠEVIČIUS,32,79
Krikščionių partija,Stasė KASPARAVIČIENĖ,33,22
Krikščionių partija,Petras BALČIŪNAS,34,28
Krikščionių partija,Darius GRIGALIONIS,35,31
Krikščionių partija,Rita ŠEIGIENĖ,36,60
