Number of voters (balsuotojų skaičius),Distirct No (apylinkės nr.),Turnouts (balsų skaičius),Valid ballot papers (galiojančių biuletenių skaičius),Invalid ballot papers percent (negaliojančių biuletenių procentas),Distirct (apylinkė),Turnouts percent (balsavusiųjų procentas),Invalid ballot papers (negaliojančių biuletenių skaičius),Valid ballot papers percent (galiojančių biuletenių procentas)
637,,253,236,6.72,Paežerių,39.72,17,93.28
2216,1,979,931,4.9,Pilviškių,44.18,48,95.1
253,9,158,156,1.27,Kavalčiukų,62.45,2,98.73
419,,223,211,5.38,Ąžuolinių,53.22,12,94.62
465,1,240,230,4.17,Verebiejų,51.61,10,95.83
170,2,60,58,3.33,Gluosninkų,35.29,2,96.67
867,3,483,454,6.0,Krokialaukio,55.71,29,94.0
582,4,301,286,4.98,Ūdrijos,51.72,15,95.02
528,5,264,252,4.55,Santaikos,50.0,12,95.45
333,5,153,147,3.92,Paulių,45.95,6,96.08
269,6,142,136,4.23,Volungiškės,52.79,6,95.77
395,7,228,214,6.14,Juodaičių,57.72,14,93.86
373,8,209,209,,Armeniškių,56.03,,100.0
865,9,420,410,2.38,Seredžiaus,48.55,10,97.62
889,,410,392,4.39,Klausučių,46.12,18,95.61
183,1,101,98,2.97,Gricių,55.19,3,97.03
966,6,518,493,4.83,Kęstučio,53.62,25,95.17
991,7,592,567,4.22,Klaipėdos,59.74,25,95.78
919,8,446,424,4.93,Transporto,48.53,22,95.07
1247,9,636,610,4.09,Kauno,51.0,26,95.91
1526,,807,754,6.57,Smėlių,52.88,53,93.43
2311,1,1239,1184,4.44,Krekšlių,53.61,55,95.56
3030,2,1685,1605,4.75,Linų,55.61,80,95.25
2131,3,1174,1132,3.58,Pivonijos,55.09,42,96.42
2620,1,1364,1316,3.52,Rimkų,52.06,48,96.48
3587,2,1669,1606,3.77,Juodmenos,46.53,63,96.23
2575,3,1235,1159,6.15,Kregždutės,47.96,76,93.85
2080,4,1233,1184,3.97,Bibliotekos,59.28,49,96.03
2256,6,1102,1057,4.08,Senamiesčio,48.85,45,95.92
1606,7,816,781,4.29,Saulutės,50.81,35,95.71
2371,1,1234,1132,8.27,Draugystės,52.05,102,91.73
1088,1,512,490,4.3,Vytauto,47.06,22,95.7
1542,2,845,808,4.38,Gedimino,54.8,37,95.62
4083,2,2019,1958,3.02,Saulės,49.45,61,96.98
2213,3,1243,1198,3.62,Sodų,56.17,45,96.38
2055,3,1277,1210,5.25,Trakų m.,62.14,67,94.75
1059,5,436,425,2.52,Ausieniškių,41.17,11,97.48
1334,6,544,530,2.57,Balceriškių,40.78,14,97.43
290,7,148,139,6.08,Beižionių,51.03,9,93.92
311,8,111,106,4.5,Daugirdiškių,35.69,5,95.5
426,9,210,201,4.29,Kazokiškių,49.3,9,95.71
2956,1,1573,1523,3.18,Lentvario,53.21,50,96.82
3063,2,1537,1453,5.47,Klevų,50.18,84,94.53
1386,8,624,611,2.08,Baltosios Vokės,45.02,13,97.92
3326,9,1711,1653,3.39,Pagirių,51.44,58,96.61
1090,,474,459,3.16,Keturiasdešimties Totorių,43.49,15,96.84
1314,1,806,773,4.09,Grigaičių,61.34,33,95.91
1171,2,747,732,2.01,Kyviškių,63.79,15,97.99
505,9,192,182,5.21,Padovinio,38.02,10,94.79
1078,1,474,456,3.8,Želsvos,43.97,18,96.2
1487,2,651,621,4.61,Liudvinavo,43.78,30,95.39
955,3,384,374,2.6,Netičkampio,40.21,10,97.4
620,4,297,286,3.7,Valavičių,47.9,11,96.3
884,5,426,406,4.69,Balsupių,48.19,20,95.31
202,6,66,63,4.55,Varnupių,32.67,3,95.45
